FUENTE;PARTIDO (según codificación INDEC);FECHA DEL HECHO;MES;HORA;DÍA DE LA SEMANA;DÍA DE LA SEMANA AGRUPADO;DIURNO / NOCTURNO;TIPO DE LUGAR;MODO DE PRODUCCIÓN DEL HECHO
Ministerio de Seguridad;707;12/12/2021;Diciembre;14:50:00;Domingo;Sábados y domingos;Diurno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;623;14/12/2021;Diciembre;18:00:00;Martes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;399;14/12/2021;Diciembre;10:30:00;Martes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;826;21/12/2021;Diciembre;17:00:00;Martes;Lunes a Viernes;Diurno;Ruta Nacional;Vuelco / despistes
Ministerio de Seguridad;497;19/12/2021;Diciembre;01:30:00;Domingo;Sábados y domingos;Nocturno;Autopista / Autovía;Colisión Vehículo / vehículo
Ministerio de Seguridad;049;24/12/2021;Diciembre;19:05:00;Viernes;Lunes a Viernes;Nocturno;Ruta Nacional;Vuelco / despistes
Ministerio de Seguridad;252;22/12/2021;Diciembre;10:20:00;Miércoles;Lunes a viernes;Diurno;Autopista / Autovía;Colisión Vehículo / vehículo
Ministerio de Seguridad;210;27/12/2021;Abril;08:00:00;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Vuelco / despistes
Ministerio Público Fiscal;623;27/12/2021;Diciembre;02:00:00;Lunes;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;134;29/12/2021;Julio;04:00:00;Miércoles;Lunes a Viernes;Nocturno;Ruta Nacional;Vuelco / despistes
Ministerio de Seguridad;448;29/12/2021;Mayo;02:50:00;Miércoles;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;655;31/12/2021;Agosto;23:50:00;Viernes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;Sin determinar;2021-12-27;Diciembre;03:30;Lunes;Lunes a viernes;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;497;18/12/2021;Diciembre;03:40:00;Sábado;Sábados y domingos;Nocturno;Autopista / Autovía;Colisión Vehículo / vehículo
