Fecha;Mes;Día de la Semana;Horario;Diurno/nocturno;Edad agrupada;Edad;Sexo;Tipo de víctima;Código de partido
2/10/2020;Octubre;Viernes;21:15:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
6/10/2020;Octubre;Martes;21:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
2/10/2020;Octubre;Viernes;12:02:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
2/10/2020;Octubre;Viernes;13:23:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
8/6/2020;Junio;Lunes;11:30:00;Diurno;65 - 74;73;Masculino;Sin determinar;28
8/6/2020;Junio;Lunes;19:30:00;Nocturno;45 - 54;52;Masculino;Sin determinar;260
2/10/2020;Octubre;Viernes;00:30:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
2/10/2020;Octubre;Viernes;21:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
2/10/2020;Octubre;Viernes;21:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
9/6/2020;Junio;Martes;07:45:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
2/10/2020;Octubre;Viernes;12:45:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
10/6/2020;Junio;Miércoles;14:00:00;Diurno;25 - 34;31;Masculino;Sin determinar;28
6/10/2020;Octubre;Martes;19:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
9/6/2020;Junio;Martes;19:00:00;Nocturno;35 - 44;42;Masculino;Sin determinar;260
9/6/2020;Junio;Martes;19:40:00;Nocturno;25 - 34;28;Masculino;Sin determinar;28
7/10/2020;Octubre;Miércoles;00:10:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
9/6/2020;Junio;Martes;19:50:00;Nocturno;25 - 34;28;Femenino;Sin determinar;260
9/6/2020;Junio;Martes;19:10:00;Nocturno;45 - 54;45;Masculino;Sin determinar;270
10/6/2020;Junio;Miércoles;10:30:00;Diurno;35 - 44;42;Masculino;Sin determinar;490
7/10/2020;Octubre;Miércoles;22:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
9/6/2020;Junio;Martes;23:00:00;Nocturno;45 - 54;45;Masculino;Sin determinar;28
7/10/2020;Octubre;Miércoles;19:30:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
10/6/2020;Junio;Miércoles;19:30:00;Nocturno;25 - 34;25;Masculino;Sin determinar;28
10/6/2020;Junio;Miércoles;15:00:00;Diurno;15 - 24;18;Masculino;Sin determinar;270
7/10/2020;Octubre;Miércoles;12:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
11/6/2020;Junio;Jueves;21:30:00;Nocturno;Sin determinar;Sin determinar;Masculino;Sin determinar;270
7/10/2020;Octubre;Miércoles;00:40:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
7/10/2020;Octubre;Miércoles;12:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
11/6/2020;Junio;Jueves;05:50:00;Nocturno;25 - 34;30;Femenino;Sin determinar;28
11/6/2020;Junio;Jueves;18:00:00;Diurno;15 - 24;17;Masculino;Sin determinar;270
11/6/2020;Junio;Jueves;18:00:00;Diurno;25 - 34;30;Masculino;Sin determinar;270
11/6/2020;Junio;Jueves;16:45:00;Diurno;25 - 34;27;Masculino;Sin determinar;28
7/10/2020;Octubre;Miércoles;12:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
11/6/2020;Junio;Jueves;04:15:00;Nocturno;15 - 24;24;Masculino;Sin determinar;28
11/6/2020;Junio;Jueves;17:00:00;Diurno;15 - 24;23;Masculino;Sin determinar;28
11/6/2020;Junio;Jueves;03:50:00;Nocturno;Sin determinar;Sin determinar;Femenino;Sin determinar;260
7/10/2020;Octubre;Miércoles;18:55:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
7/10/2020;Octubre;Miércoles;08:10:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
11/6/2020;Junio;Jueves;12:50:00;Diurno;Sin determinar;Sin determinar;Masculino;Sin determinar;260
12/6/2020;Junio;Viernes;15:42:00;Diurno;45 - 54;46;Masculino;Sin determinar;270
12/6/2020;Junio;Viernes;16:00:00;Diurno;15 - 24;20;Masculino;Sin determinar;270
12/6/2020;Junio;Viernes;23:40:00;Nocturno;15 - 24;24;Masculino;Sin determinar;490
12/6/2020;Junio;Viernes;16:00:00;Diurno;25 - 34;26;Masculino;Sin determinar;490
12/6/2020;Junio;Viernes;11:00:00;Diurno;45 - 54;47;Masculino;Sin determinar;260
12/6/2020;Junio;Viernes;19:40:00;Nocturno;15 - 24;18;Masculino;Sin determinar;260
13/6/2020;Junio;Sábado;07:00:00;Diurno;15 - 24;23;Masculino;Sin determinar;270
12/6/2020;Junio;Viernes;19:20:00;Nocturno;15 - 24;24;Masculino;Sin determinar;28
9/10/2020;Octubre;Viernes;17:30:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
13/6/2020;Junio;Sábado;20:50:00;Nocturno;15 - 24;22;Masculino;Sin determinar;28
13/6/2020;Junio;Sábado;16:00:00;Diurno;35 - 44;42;Femenino;Sin determinar;260
15/10/2020;Octubre;Jueves;14:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
13/6/2020;Junio;Sábado;20:45:00;Nocturno;25 - 34;26;Masculino;Sin determinar;490
12/6/2020;Junio;Viernes;11:20:00;Diurno;35 - 44;37;Masculino;Sin determinar;28
9/10/2020;Octubre;Viernes;20:30:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
11/10/2020;Octubre;Domingo;14:30:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
15/10/2020;Octubre;Jueves;21:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
15/10/2020;Octubre;Jueves;08:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
14/6/2020;Junio;Domingo;14:30:00;Diurno;15 - 24;21;Femenino;Sin determinar;270
14/6/2020;Junio;Domingo;16:15:00;Diurno;15 - 24;18;Masculino;Sin determinar;28
14/6/2020;Junio;Domingo;12:30:00;Diurno;15 - 24;20;Masculino;Sin determinar;28
14/6/2020;Junio;Domingo;09:00:00;Diurno;25 - 34;33;Masculino;Sin determinar;490
14/10/2020;Octubre;Miércoles;23:46:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
14/6/2020;Junio;Domingo;13:20:00;Diurno;25 - 34;25;Masculino;Sin determinar;490
14/6/2020;Junio;Domingo;01:00:00;Nocturno;35 - 44;39;Femenino;Sin determinar;490
15/6/2020;Junio;Lunes;00:00:00;Nocturno;15 - 24;20;Masculino;Sin determinar;28
13/10/2020;Octubre;Martes;14:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
13/10/2020;Octubre;Martes;23:15:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
14/6/2020;Junio;Domingo;21:20:00;Nocturno;35 - 44;37;Masculino;Sin determinar;260
13/10/2020;Octubre;Martes;23:40:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
14/6/2020;Junio;Domingo;17:00:00;Diurno;15 - 24;23;Femenino;Sin determinar;260
15/6/2020;Junio;Lunes;08:00:00;Diurno;15 - 24;21;Masculino;Sin determinar;490
15/6/2020;Junio;Lunes;00:30:00;Nocturno;45 - 54;52;Masculino;Sin determinar;490
16/6/2020;Junio;Martes;12:30:00;Diurno;45 - 54;47;Femenino;Sin determinar;270
16/6/2020;Junio;Martes;08:30:00;Diurno;Sin determinar;Sin determinar;Masculino;Sin determinar;260
16/6/2020;Junio;Martes;11:30:00;Diurno;Sin determinar;Sin determinar;Masculino;Sin determinar;260
16/6/2020;Junio;Martes;14:40:00;Diurno;25 - 34;29;Masculino;Sin determinar;270
16/6/2020;Junio;Martes;11:30:00;Diurno;55 - 64;55;Masculino;Sin determinar;260
16/6/2020;Junio;Martes;18:30:00;Diurno;35 - 44;42;Masculino;Sin determinar;28
16/6/2020;Junio;Martes;12:00:00;Diurno;55 - 64;55;Masculino;Sin determinar;28
16/6/2020;Junio;Martes;09:30:00;Diurno;55 - 64;58;Masculino;Sin determinar;28
17/6/2020;Junio;Miércoles;08:15:00;Diurno;35 - 44;39;Masculino;Sin determinar;28
16/6/2020;Junio;Martes;21:30:00;Nocturno;25 - 34;25;Masculino;Sin determinar;490
8/10/2020;Octubre;Jueves;12:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
17/6/2020;Junio;Miércoles;14:00:00;Diurno;Sin determinar;Sin determinar;Femenino;Sin determinar;490
16/6/2020;Junio;Martes;12:50:00;Diurno;35 - 44;35;Femenino;Sin determinar;28
17/6/2020;Junio;Miércoles;13:00:00;Diurno;25 - 34;26;Masculino;Sin determinar;490
18/6/2020;Junio;Jueves;11:00:00;Diurno;35 - 44;39;Masculino;Sin determinar;490
18/6/2020;Junio;Jueves;18:30:00;Diurno;Sin determinar;Sin determinar;Femenino;Sin determinar;28
18/6/2020;Junio;Jueves;19:50:00;Nocturno;15 - 24;22;Masculino;Sin determinar;270
18/6/2020;Junio;Jueves;09:40:00;Diurno;35 - 44;38;Masculino;Sin determinar;490
19/6/2020;Junio;Viernes;06:20:00;Nocturno;Sin determinar;Sin determinar;Masculino;Sin determinar;260
19/6/2020;Junio;Viernes;18:30:00;Diurno;Sin determinar;Sin determinar;Masculino;Sin determinar;260
19/6/2020;Junio;Viernes;09:30:00;Diurno;25 - 34;29;Femenino;Sin determinar;260
18/6/2020;Junio;Jueves;08:40:00;Diurno;25 - 34;31;Masculino;Sin determinar;490
19/6/2020;Junio;Viernes;16:00:00;Diurno;25 - 34;33;Masculino;Sin determinar;260
20/6/2020;Junio;Sábado;18:50:00;Diurno;35 - 44;39;Masculino;Sin determinar;28
20/6/2020;Junio;Sábado;11:00:00;Diurno;25 - 34;32;Femenino;Sin determinar;28
20/6/2020;Junio;Sábado;00:20:00;Nocturno;25 - 34;33;Masculino;Sin determinar;28
