Origen de la base;Código de partido;Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad;Edad agrupada;Sexo
Ministerio de Seguridad;638;18/11/2018;Noviembre;00:00:00;Nocturno;35;35 a 44;Mujer
Ministerio de Seguridad;412;22/11/2018;Noviembre;23:44:00;Nocturno;30;25 a 34;Mujer
Ministerio de Seguridad;760;22/11/2018;Noviembre;23:50:00;Nocturno;45;45 a 54;Varón
Ministerio de Seguridad;515;25/11/2018;Noviembre;12:30:00;Diurno;30;25 a 34;Mujer
Ministerio de Seguridad;638;27/11/2018;Noviembre;13:15:00;Diurno;32;25 a 34;Mujer
Ministerio de Seguridad;515;26/11/2018;Noviembre;__:__:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;515;1/12/2018;Diciembre;11:40:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;515;1/12/2018;Diciembre;22:50:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;515;3/12/2018;Diciembre;07:00:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;760;8/12/2018;Diciembre;19:22:00;Nocturno;26;25 a 34;Mujer
Ministerio de Seguridad;638;7/12/2018;Diciembre;17:30:00;Diurno;32;25 a 34;Mujer
Ministerio de Seguridad;515;10/12/2018;Diciembre;19:00:00;Diurno;36;35 a 44;Varón
Ministerio de Seguridad;515;14/12/2018;Diciembre;13:00:00;Diurno;27;25 a 34;Mujer
Ministerio de Seguridad;760;16/12/2018;Diciembre;10:30:00;Diurno;23;15 a 24;Varón
Ministerio de Seguridad;638;19/12/2018;Diciembre;05:30:00;Nocturno;64;55 a 64;Mujer
Ministerio de Seguridad;638;16/12/2018;Diciembre;19:46:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;638;18/12/2018;Diciembre;12:30:00;Diurno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;760;22/12/2018;Diciembre;12:30:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;638;24/12/2018;Diciembre;15:30:00;Diurno;22;15 a 24;Mujer
Ministerio de Seguridad;412;29/12/2018;Diciembre;07:30:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;515;28/12/2018;Diciembre;18:00:00;Diurno;25;25 a 34;Varón
Ministerio de Seguridad;560;4/1/2018;Enero;12:00:00;Diurno;32;25 a 34;Varón
Ministerio de Seguridad;560;6/1/2018;Enero;22:10:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;560;10/1/2018;Enero;21:00:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;560;12/1/2018;Enero;21:00:00;Nocturno;35;35 a 44;Varón
Ministerio de Seguridad;364;15/1/2018;Enero;12:00:00;Diurno;41;35 a 44;Mujer
Ministerio de Seguridad;560;30/1/2018;Enero;22:00:00;Nocturno;29;25 a 34;Varón
Ministerio de Seguridad;560;7/2/2018;Febrero;20:00:00;Nocturno;11;5 a 14;Mujer
Ministerio de Seguridad;560;12/2/2018;Febrero;20:00:00;Nocturno;17;15 a 24;Varón
Ministerio de Seguridad;560;18/2/2018;Febrero;21:00:00;Nocturno;18;15 a 24;Varón
Ministerio de Seguridad;560;24/2/2018;Febrero;23:00:00;Nocturno;28;25 a 34;Varón
Ministerio de Seguridad;560;26/2/2018;Febrero;15:00:00;Diurno;31;25 a 34;Mujer
Ministerio de Seguridad;560;4/3/2018;Marzo;01:00:00;Nocturno;50;45 a 54;Varón
Ministerio de Seguridad;560;5/3/2018;Marzo;12:10:00;Diurno;43;35 a 44;Varón
Ministerio de Seguridad;560;4/3/2018;Marzo;16:00:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;560;7/3/2018;Marzo;14:00:00;Diurno;3;0 a 4;Varón
Ministerio de Seguridad;560;9/3/2018;Marzo;07:00:00;Nocturno;24;15 a 24;Mujer
Ministerio de Seguridad;364;11/3/2018;Marzo;20:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;560;9/3/2018;Marzo;20:15:00;Nocturno;55;55 a 64;Mujer
Ministerio de Seguridad;560;15/3/2018;Marzo;16:30:00;Diurno;42;35 a 44;Varón
Ministerio de Seguridad;364;21/3/2018;Marzo;10:00:00;Diurno;27;25 a 34;Mujer
Ministerio de Seguridad;560;22/3/2018;Marzo;10:30:00;Diurno;36;35 a 44;Varón
Ministerio de Seguridad;364;5/4/2018;Abril;21:00:00;Nocturno;22;15 a 24;Varón
Ministerio de Seguridad;560;7/4/2018;Abril;13:2_:00;Diurno;32;25 a 34;Varón
Ministerio de Seguridad;581;3/5/2018;Mayo;13:10:00;Diurno;5;5 a 14;Varón
Ministerio de Seguridad;581;3/5/2018;Mayo;13:10:00;Diurno;36;35 a 44;Mujer
Ministerio de Seguridad;581;6/5/2018;Mayo;17:30:00;Diurno;17;15 a 24;Varón
Ministerio de Seguridad;581;27/5/2018;Mayo;19:05:00;Nocturno;23;15 a 24;Mujer
Ministerio de Seguridad;581;5/6/2018;Junio;11:20:00;Diurno;37;35 a 44;Varón
Ministerio de Seguridad;581;5/6/2018;Junio;11:20:00;Diurno;32;25 a 34;Varón
Ministerio de Seguridad;581;2/8/2018;Agosto;17:20:00;Diurno;32;25 a 34;Mujer
Ministerio de Seguridad;581;7/8/2018;Agosto;13:10:00;Diurno;32;25 a 34;Varón
Ministerio de Seguridad;581;29/8/2018;Agosto;20:15:00;Nocturno;33;25 a 34;Varón
Ministerio de Seguridad;476;1/9/2018;Septiembre;10:00:00;Diurno;34;25 a 34;Mujer
Ministerio de Seguridad;581;5/9/2018;Septiembre;11:20:00;Diurno;10;5 a 14;Varón
Ministerio de Seguridad;581;1/11/2018;Noviembre;15:25:00;Diurno;23;15 a 24;Varón
Ministerio de Seguridad;581;1/11/2018;Noviembre;15:25:00;Diurno;50;45 a 54;Varón
Ministerio de Seguridad;581;6/11/2018;Noviembre;19:00:00;Diurno;40;35 a 44;Varón
Ministerio de Seguridad;581;13/11/2018;Noviembre;12:50:00;Diurno;6;5 a 14;Varón
Ministerio de Seguridad;581;30/11/2018;Noviembre;15:50:00;Diurno;56;55 a 64;Mujer
Ministerio de Seguridad;189;25/4/2018;Abril;__:__:00;Nocturno;14;5 a 14;Varón
Ministerio de Seguridad;833;30/4/2018;Abril;__:__:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;833;30/4/2018;Abril;__:__:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;448;24/3/2018;Marzo;22:10:00;Nocturno;22;15 a 24;Varón
Ministerio de Seguridad;196;20/4/2018;Abril;21:10:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;322;25/4/2018;Abril;11:50:00;Diurno;37;35 a 44;Varón
Ministerio de Seguridad;448;6/6/2018;Junio;17:00:00;Diurno;26;25 a 34;Mujer
Ministerio de Seguridad;203;6/6/2018;Junio;07:20:00;Diurno;25;25 a 34;Mujer
Ministerio de Seguridad;203;3/6/2018;Junio;20:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;651;23/8/2018;Agosto;17:30:00;Diurno;6;5 a 14;Varón
Ministerio de Seguridad;203;7/9/2018;Septiembre;18:00:00;Diurno;15;15 a 24;Mujer
Ministerio de Seguridad;196;28/9/2018;Septiembre;12:15:00;Diurno;29;25 a 34;Varón
Ministerio de Seguridad;196;28/9/2018;Septiembre;12:15:00;Diurno;23;15 a 24;Mujer
Ministerio de Seguridad;700;31/10/2018;Octubre;13:05:00;Diurno;27;25 a 34;Varón
Ministerio de Seguridad;056;3/1/2018;Enero;19:00:00;Diurno;17;15 a 24;Varón
Ministerio de Seguridad;056;4/1/2018;Enero;23:00:00;Nocturno;43;35 a 44;Varón
Ministerio de Seguridad;056;4/1/2018;Enero;23:00:00;Nocturno;43;35 a 44;Varón
Ministerio de Seguridad;553;21/1/2018;Enero;00:30:00;Nocturno;23;15 a 24;Mujer
Ministerio de Seguridad;056;29/1/2018;Enero;22:35:00;Nocturno;14;5 a 14;Varón
Ministerio de Seguridad;056;3/2/2018;Febrero;09:30:00;Diurno;21;15 a 24;Mujer
Ministerio de Seguridad;182;4/2/2018;Febrero;13:06:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;056;5/2/2018;Febrero;20:00:00;Nocturno;24;15 a 24;Varón
Ministerio de Seguridad;056;3/3/2018;Marzo;19:40:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;056;4/3/2018;Marzo;04:00:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;056;7/3/2018;Marzo;19:00:00;Diurno;34;25 a 34;Varón
Ministerio de Seguridad;056;20/3/2018;Marzo;16:15:00;Diurno;4;0 a 4;Mujer
Ministerio de Seguridad;056;20/3/2018;Marzo;16:15:00;Diurno;44;35 a 44;Mujer
Ministerio de Seguridad;056;18/4/2018;Abril;16:45:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;056;22/4/2018;Abril;21:40:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;056;24/4/2018;Abril;22:40:00;Nocturno;46;45 a 54;Varón
Ministerio de Seguridad;056;30/4/2018;Abril;15:30:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;056;1/5/2018;Mayo;01:45:00;Nocturno;18;15 a 24;Varón
Ministerio de Seguridad;056;5/5/2018;Mayo;19:40:00;Nocturno;25;25 a 34;Varón
Ministerio de Seguridad;056;9/5/2018;Mayo;19:00:00;Diurno;22;15 a 24;Varón
Ministerio de Seguridad;602;12/5/2018;Mayo;14:30:00;Diurno;20;15 a 24;Varón
Ministerio de Seguridad;182;1/6/2018;Junio;07:30:00;Diurno;28;25 a 34;Varón
Ministerio de Seguridad;056;10/6/2018;Junio;18:00:00;Diurno;46;45 a 54;Varón
Ministerio de Seguridad;056;12/7/2018;Julio;05:50:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;182;4/8/2018;Agosto;06:13:00;Nocturno;40;35 a 44;Varón
Ministerio de Seguridad;056;12/11/2018;Noviembre;19:15:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;602;15/11/2018;Noviembre;06:00:00;Nocturno;28;25 a 34;Varón
Ministerio de Seguridad;056;17/11/2018;Noviembre;07:30:00;Diurno;23;15 a 24;Varón
Ministerio de Seguridad;056;23/11/2018;Noviembre;06:00:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;056;22/11/2018;Noviembre;16:05:00;Diurno;25;25 a 34;Varón
Ministerio de Seguridad;056;26/12/2018;Diciembre;18:30:00;Diurno;28;25 a 34;Varón
Ministerio de Seguridad;140;14/2/2018;Febrero;01:10:00;Nocturno;22;15 a 24;Varón
Ministerio de Seguridad;140;23/2/2018;Febrero;06:10:00;Nocturno;19;15 a 24;Varón
Ministerio de Seguridad;140;23/2/2018;Febrero;06:10:00;Nocturno;14;5 a 14;Varón
Ministerio de Seguridad;140;23/2/2018;Febrero;06:10:00;Nocturno;15;15 a 24;Varón
Ministerio de Seguridad;161;16/3/2018;Marzo;01:30:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;161;20/4/2018;Abril;15:00:00;Diurno;49;45 a 54;Mujer
Ministerio de Seguridad;140;30/4/2018;Abril;22:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;140;30/4/2018;Abril;22:00:00;Nocturno;24;15 a 24;Mujer
Ministerio de Seguridad;161;7/6/2018;Junio;15:30:00;Diurno;24;15 a 24;Mujer
Ministerio de Seguridad;266;11/6/2018;Junio;20:10:00;Nocturno;27;25 a 34;Mujer
Ministerio de Seguridad;140;3/9/2018;Septiembre;18:10:00;Diurno;31;25 a 34;Mujer
Ministerio de Seguridad;140;19/9/2018;Septiembre;18:20:00;Diurno;20;15 a 24;Mujer
Ministerio de Seguridad;140;25/9/2018;Septiembre;23:55:00;Nocturno;24;15 a 24;Varón
Ministerio de Seguridad;266;29/10/2018;Octubre;22:30:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;266;9/11/2018;Noviembre;15:30:00;Diurno;24;15 a 24;Mujer
Ministerio de Seguridad;140;17/11/2018;Noviembre;20:40:00;Nocturno;28;25 a 34;Mujer
Ministerio de Seguridad;266;2/12/2018;Diciembre;08:40:00;Diurno;35;35 a 44;Mujer
Ministerio de Seguridad;140;5/12/2018;Diciembre;22:00:00;Nocturno;6;5 a 14;Varón
Ministerio de Seguridad;266;27/12/2018;Diciembre;16:30:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;861;2/1/2018;Enero;00:00:00;Nocturno;20;15 a 24;Mujer
Ministerio de Seguridad;756;3/1/2018;Enero;00:00:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;805;7/1/2018;Enero;21:50:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;805;4/1/2018;Enero;18:30:00;Diurno;69;65 a 74;Varón
Ministerio de Seguridad;805;7/1/2018;Enero;16:00:00;Diurno;6;5 a 14;Varón
Ministerio de Seguridad;805;11/1/2018;Enero;07:55:00;Diurno;23;15 a 24;Varón
Ministerio de Seguridad;861;13/1/2018;Enero;00:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;756;16/1/2018;Enero;00:00:00;Nocturno;24;15 a 24;Mujer
Ministerio de Seguridad;756;16/1/2018;Enero;00:00:00;Nocturno;34;25 a 34;Varón
Ministerio de Seguridad;756;16/1/2018;Enero;09:30:00;Diurno;60;55 a 64;Varón
Ministerio de Seguridad;805;18/1/2018;Enero;02:30:00;Nocturno;31;25 a 34;Varón
Ministerio de Seguridad;749;21/1/2018;Enero;00:00:00;Nocturno;22;15 a 24;Varón
Ministerio de Seguridad;756;21/1/2018;Enero;00:00:00;Nocturno;42;35 a 44;Mujer
Ministerio de Seguridad;756;24/1/2018;Enero;00:00:00;Nocturno;55;55 a 64;Varón
Ministerio de Seguridad;756;26/1/2018;Enero;00:00:00;Nocturno;30;25 a 34;Mujer
Ministerio de Seguridad;749;29/1/2018;Enero;00:00:00;Nocturno;32;25 a 34;Mujer
Ministerio de Seguridad;756;1/2/2018;Febrero;00:00:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;805;5/2/2018;Febrero;10:40:00;Diurno;46;45 a 54;Varón
Ministerio de Seguridad;749;3/2/2018;Febrero;16:00:00;Diurno;35;35 a 44;Varón
Ministerio de Seguridad;805;7/2/2018;Febrero;00:00:00;Nocturno;62;55 a 64;Varón
Ministerio de Seguridad;749;11/2/2018;Febrero;10:00:00;Diurno;56;55 a 64;Varón
Ministerio de Seguridad;805;14/2/2018;Febrero;00:00:00;Nocturno;39;35 a 44;Varón
Ministerio de Seguridad;749;8/2/2018;Febrero;00:00:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;805;15/2/2018;Febrero;00:00:00;Nocturno;2;0 a 4;Varón
Ministerio de Seguridad;805;17/2/2018;Febrero;00:00:00;Nocturno;31;25 a 34;Varón
Ministerio de Seguridad;861;17/2/2018;Febrero;17:20:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;749;21/2/2018;Febrero;20:40:00;Nocturno;37;35 a 44;Varón
Ministerio de Seguridad;749;21/2/2018;Febrero;00:00:00;Nocturno;58;55 a 64;Mujer
Ministerio de Seguridad;805;24/2/2018;Febrero;00:00:00;Nocturno;14;5 a 14;Mujer
Ministerio de Seguridad;861;26/2/2018;Febrero;06:40:00;Nocturno;44;35 a 44;Varón
Ministerio de Seguridad;756;30/11/2018;Noviembre;00:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;805;29/11/2018;Noviembre;00:00:00;Nocturno;42;35 a 44;Varón
Ministerio de Seguridad;805;2/12/2018;Diciembre;00:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;805;1/12/2018;Diciembre;00:00:00;Nocturno;54;45 a 54;Varón
Ministerio de Seguridad;805;4/12/2018;Diciembre;20:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;805;3/12/2018;Diciembre;19:30:00;Nocturno;40;35 a 44;Varón
Ministerio de Seguridad;805;4/12/2018;Diciembre;07:30:00;Diurno;29;25 a 34;Varón
Ministerio de Seguridad;861;4/12/2018;Diciembre;15:30:00;Diurno;36;35 a 44;Varón
Ministerio de Seguridad;749;6/12/2018;Diciembre;00:00:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;805;7/12/2018;Diciembre;00:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;805;8/12/2018;Diciembre;00:00:00;Nocturno;34;25 a 34;Varón
Ministerio de Seguridad;861;7/12/2018;Diciembre;17:40:00;Diurno;41;35 a 44;Varón
Ministerio de Seguridad;756;7/12/2018;Diciembre;14:00:00;Diurno;22;15 a 24;Varón
Ministerio de Seguridad;861;14/12/2018;Diciembre;20:20:00;Nocturno;37;35 a 44;Mujer
Ministerio de Seguridad;805;17/12/2018;Diciembre;00:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;805;18/12/2018;Diciembre;17:30:00;Diurno;30;25 a 34;Varón
Ministerio de Seguridad;805;17/12/2018;Diciembre;08:00:00;Diurno;60;55 a 64;Mujer
Ministerio de Seguridad;756;19/12/2018;Diciembre;10:00:00;Diurno;2;0 a 4;Varón
Ministerio de Seguridad;805;20/12/2018;Diciembre;17:25:00;Diurno;36;35 a 44;Varón
Ministerio de Seguridad;749;21/12/2018;Diciembre;18:35:00;Diurno;25;25 a 34;Mujer
Ministerio de Seguridad;805;22/12/2018;Diciembre;20:50:00;Nocturno;11;5 a 14;Varón
Ministerio de Seguridad;756;21/12/2018;Diciembre;17:29:00;Diurno;30;25 a 34;Mujer
Ministerio de Seguridad;756;24/12/2018;Diciembre;00:00:00;Nocturno;19;15 a 24;Varón
Ministerio de Seguridad;756;30/12/2018;Diciembre;19:30:00;Nocturno;26;25 a 34;Mujer
Ministerio de Seguridad;749;30/12/2018;Diciembre;19:10:00;Nocturno;43;35 a 44;Varón
Ministerio de Seguridad;749;30/12/2018;Diciembre;19:10:00;Nocturno;42;35 a 44;Mujer
Ministerio de Seguridad;840;2/1/2018;Enero;14:00:00;Diurno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;371;6/1/2018;Enero;11:45:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;840;10/1/2018;Enero;00:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;840;8/1/2018;Enero;19:15:00;Nocturno;49;45 a 54;Varón
Ministerio de Seguridad;840;16/1/2018;Enero;19:20:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;371;23/1/2018;Enero;00:00:00;Nocturno;25;25 a 34;Mujer
Ministerio de Seguridad;840;21/1/2018;Enero;15:30:00;Diurno;36;35 a 44;Varón
Ministerio de Seguridad;371;26/1/2018;Enero;13:00:00;Diurno;39;35 a 44;Varón
Ministerio de Seguridad;371;30/1/2018;Enero;21:15:00;Nocturno;22;15 a 24;Mujer
Ministerio de Seguridad;371;27/1/2018;Enero;00:00:00;Nocturno;54;45 a 54;Mujer
Ministerio de Seguridad;371;6/2/2018;Febrero;08:00:00;Diurno;22;15 a 24;Varón
Ministerio de Seguridad;371;6/2/2018;Febrero;08:00:00;Diurno;30;25 a 34;Mujer
Ministerio de Seguridad;371;8/2/2018;Febrero;16:42:00;Diurno;18;15 a 24;Varón
Ministerio de Seguridad;840;10/2/2018;Febrero;15:10:00;Diurno;19;15 a 24;Mujer
Ministerio de Seguridad;371;13/2/2018;Febrero;14:00:00;Diurno;46;45 a 54;Varón
Ministerio de Seguridad;371;16/2/2018;Febrero;23:10:00;Nocturno;8;5 a 14;Mujer
Ministerio de Seguridad;371;17/2/2018;Febrero;00:00:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;371;4/3/2018;Marzo;14:30:00;Diurno;31;25 a 34;Varón
Ministerio de Seguridad;371;3/3/2018;Marzo;11:50:00;Diurno;11;5 a 14;Mujer
Ministerio de Seguridad;840;2/3/2018;Marzo;17:00:00;Diurno;62;55 a 64;Mujer
Ministerio de Seguridad;840;11/3/2018;Marzo;09:20:00;Diurno;29;25 a 34;Varón
Ministerio de Seguridad;371;10/3/2018;Marzo;10:55:00;Diurno;8;5 a 14;Mujer
Ministerio de Seguridad;371;15/3/2018;Marzo;12:30:00;Diurno;40;35 a 44;Varón
Ministerio de Seguridad;840;14/3/2018;Marzo;08:00:00;Diurno;56;55 a 64;Varón
Ministerio de Seguridad;840;14/3/2018;Marzo;08:00:00;Diurno;57;55 a 64;Mujer
Ministerio de Seguridad;371;14/3/2018;Marzo;00:00:00;Nocturno;22;15 a 24;Varón
Ministerio de Seguridad;371;22/3/2018;Marzo;10:50:00;Diurno;23;15 a 24;Varón
Ministerio de Seguridad;840;28/3/2018;Marzo;13:20:00;Diurno;44;35 a 44;Varón
Ministerio de Seguridad;840;16/3/2018;Marzo;13:10:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;756;20/8/2018;Agosto;11:40:00;Diurno;36;35 a 44;Mujer
Ministerio de Seguridad;756;20/8/2018;Agosto;11:40:00;Diurno;43;35 a 44;Varón
Ministerio de Seguridad;756;30/8/2018;Agosto;16:40:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;805;30/8/2018;Agosto;16:30:00;Diurno;73;65 a 74;Mujer
Ministerio de Seguridad;756;24/8/2018;Agosto;17:15:00;Diurno;31;25 a 34;Varón
Ministerio de Seguridad;749;31/8/2018;Agosto;08:00:00;Diurno;47;45 a 54;Mujer
Ministerio de Seguridad;756;3/9/2018;Septiembre;10:15:00;Diurno;55;55 a 64;Mujer
Ministerio de Seguridad;756;5/9/2018;Septiembre;08:50:00;Diurno;75;75 y más;Mujer
Ministerio de Seguridad;756;5/9/2018;Septiembre;09:05:00;Diurno;57;55 a 64;Varón
Ministerio de Seguridad;861;9/9/2018;Septiembre;17:00:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;805;8/9/2018;Septiembre;00:00:00;Nocturno;42;35 a 44;Varón
Ministerio de Seguridad;861;13/9/2018;Septiembre;10:10:00;Diurno;34;25 a 34;Varón
Ministerio de Seguridad;749;13/9/2018;Septiembre;21:44:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;861;15/9/2018;Septiembre;05:25:00;Nocturno;69;65 a 74;Mujer
Ministerio de Seguridad;861;15/9/2018;Septiembre;05:25:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;805;15/9/2018;Septiembre;06:10:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;749;19/9/2018;Septiembre;00:00:00;Nocturno;35;35 a 44;Varón
Ministerio de Seguridad;749;21/9/2018;Septiembre;11:50:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;861;21/9/2018;Septiembre;16:30:00;Diurno;29;25 a 34;Varón
Ministerio de Seguridad;749;24/9/2018;Septiembre;21:15:00;Nocturno;17;15 a 24;Varón
Ministerio de Seguridad;861;25/9/2018;Septiembre;21:42:00;Nocturno;51;45 a 54;Varón
Ministerio de Seguridad;805;26/9/2018;Septiembre;00:00:00;Nocturno;Sin determinar;Sin determinar;Varón
Ministerio de Seguridad;756;28/9/2018;Septiembre;00:00:00;Nocturno;28;25 a 34;Mujer
Ministerio de Seguridad;805;1/10/2018;Octubre;07:20:00;Diurno;35;35 a 44;Varón
Ministerio de Seguridad;749;7/10/2018;Octubre;00:00:00;Nocturno;25;25 a 34;Mujer
Ministerio de Seguridad;805;6/10/2018;Octubre;00:00:00;Nocturno;40;35 a 44;Mujer
Ministerio de Seguridad;861;9/10/2018;Octubre;10:05:00;Diurno;74;65 a 74;Varón
Ministerio de Seguridad;805;12/10/2018;Octubre;13:30:00;Diurno;17;15 a 24;Mujer
Ministerio de Seguridad;805;13/10/2018;Octubre;00:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;805;20/10/2018;Octubre;00:00:00;Nocturno;28;25 a 34;Varón
Ministerio de Seguridad;805;19/10/2018;Octubre;00:00:00;Nocturno;48;45 a 54;Varón
Ministerio de Seguridad;749;22/10/2018;Octubre;02:20:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;756;23/10/2018;Octubre;09:55:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;749;23/10/2018;Octubre;00:00:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;756;23/10/2018;Octubre;00:00:00;Nocturno;33;25 a 34;Varón
Ministerio de Seguridad;861;23/10/2018;Octubre;15:15:00;Diurno;16;15 a 24;Mujer
Ministerio de Seguridad;805;26/10/2018;Octubre;13:25:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;805;2/11/2018;Noviembre;14:00:00;Diurno;65;65 a 74;Varón
Ministerio de Seguridad;805;1/11/2018;Noviembre;08:40:00;Diurno;47;45 a 54;Mujer
Ministerio de Seguridad;756;5/11/2018;Noviembre;16:30:00;Diurno;37;35 a 44;Varón
Ministerio de Seguridad;805;7/11/2018;Noviembre;15:45:00;Diurno;27;25 a 34;Mujer
Ministerio de Seguridad;861;1/11/2018;Noviembre;11:45:00;Diurno;48;45 a 54;Varón
Ministerio de Seguridad;749;7/11/2018;Noviembre;07:15:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;756;8/11/2018;Noviembre;15:30:00;Diurno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;756;14/11/2018;Noviembre;20:30:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;749;17/11/2018;Noviembre;07:15:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;861;20/11/2018;Noviembre;13:20:00;Diurno;49;45 a 54;Varón
Ministerio de Seguridad;861;20/11/2018;Noviembre;13:20:00;Diurno;47;45 a 54;Varón
Ministerio de Seguridad;749;22/11/2018;Noviembre;17:35:00;Diurno;42;35 a 44;Varón
Ministerio de Seguridad;861;22/11/2018;Noviembre;00:29:00;Nocturno;7;5 a 14;Mujer
Ministerio de Seguridad;749;25/11/2018;Noviembre;12:10:00;Diurno;34;25 a 34;Varón
Ministerio de Seguridad;861;27/11/2018;Noviembre;10:40:00;Diurno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;756;28/11/2018;Noviembre;14:36:00;Diurno;73;65 a 74;Varón
Ministerio de Seguridad;756;18/11/2018;Noviembre;00:00:00;Nocturno;40;35 a 44;Varón
Ministerio de Seguridad;805;3/12/2018;Diciembre;07:10:00;Diurno;32;25 a 34;Varón
Ministerio de Seguridad;840;5/1/2018;Enero;11:25:00;Diurno;75;75 y más;Mujer
Ministerio de Seguridad;840;5/1/2018;Enero;17:00:00;Diurno;48;45 a 54;Varón
Ministerio de Seguridad;840;9/1/2018;Enero;15:46:00;Diurno;20;15 a 24;Varón
Ministerio de Seguridad;371;16/1/2018;Enero;06:40:00;Nocturno;32;25 a 34;Varón
Ministerio de Seguridad;371;16/1/2018;Enero;19:20:00;Nocturno;15;15 a 24;Varón
Ministerio de Seguridad;840;24/1/2018;Enero;16:20:00;Diurno;22;15 a 24;Varón
Ministerio de Seguridad;371;24/1/2018;Enero;19:00:00;Diurno;53;45 a 54;Varón
Ministerio de Seguridad;371;28/1/2018;Enero;18:20:00;Diurno;53;45 a 54;Mujer
Ministerio de Seguridad;371;28/1/2018;Enero;18:20:00;Diurno;2;0 a 4;Mujer
Ministerio de Seguridad;371;29/1/2018;Enero;08:30:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;371;29/1/2018;Enero;08:30:00;Diurno;66;65 a 74;Varón
Ministerio de Seguridad;371;29/1/2018;Enero;08:30:00;Diurno;35;35 a 44;Varón
