Origen de la base;Código de partido;Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad;Edad agrupada;Sexo
Ministerio de Seguridad;763;22/7/2018;Julio;14:30:00;Diurno;22;15 a 24;Varón
Ministerio de Seguridad;770;29/7/2018;Julio;08:30:00;Diurno;21;15 a 24;Mujer
Ministerio de Seguridad;070;17/8/2018;Agosto;05:00:00;Nocturno;31;25 a 34;Varón
Ministerio de Seguridad;763;1/9/2018;Septiembre;03:30:00;Nocturno;58;55 a 64;Varón
Ministerio de Seguridad;763;14/9/2018;Septiembre;06:30:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;763;11/10/2018;Octubre;15:30:00;Diurno;60;55 a 64;Varón
Ministerio de Seguridad;665;16/10/2018;Octubre;12:00:00;Diurno;67;65 a 74;Varón
Ministerio de Seguridad;070;13/12/2018;Diciembre;19:20:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;623;8/1/2018;Enero;17:30:00;Diurno;60;55 a 64;Varón
Ministerio de Seguridad;623;19/1/2018;Enero;19:30:00;Nocturno;8;5 a 14;Varón
Ministerio de Seguridad;623;19/1/2018;Enero;19:30:00;Nocturno;5;5 a 14;Varón
Ministerio de Seguridad;623;19/1/2018;Enero;19:30:00;Nocturno;30;25 a 34;Mujer
Ministerio de Seguridad;623;24/1/2018;Enero;08:05:00;Diurno;23;15 a 24;Mujer
Ministerio de Seguridad;077;28/1/2018;Enero;08:00:00;Diurno;46;45 a 54;Mujer
Ministerio de Seguridad;077;28/1/2018;Enero;08:00:00;Diurno;17;15 a 24;Varón
Ministerio de Seguridad;623;26/1/2018;Enero;21:15:00;Nocturno;15;15 a 24;Mujer
Ministerio de Seguridad;623;14/2/2018;Febrero;12:10:00;Diurno;26;25 a 34;Varón
Ministerio de Seguridad;623;16/2/2018;Febrero;16:35:00;Diurno;15;15 a 24;Mujer
Ministerio de Seguridad;623;16/2/2018;Febrero;16:35:00;Diurno;21;15 a 24;Mujer
Ministerio de Seguridad;623;23/2/2018;Febrero;21:05:00;Nocturno;56;55 a 64;Mujer
Ministerio de Seguridad;714;22/2/2018;Febrero;22:30:00;Nocturno;19;15 a 24;Varón
Ministerio de Seguridad;623;1/3/2018;Marzo;17:47:00;Diurno;66;65 a 74;Mujer
Ministerio de Seguridad;623;1/3/2018;Marzo;17:47:00;Diurno;13;5 a 14;Varón
Ministerio de Seguridad;623;2/3/2018;Marzo;13:00:00;Diurno;46;45 a 54;Varón
Ministerio de Seguridad;623;4/3/2018;Marzo;17:50:00;Diurno;70;65 a 74;Mujer
Ministerio de Seguridad;077;3/3/2018;Marzo;23:15:00;Nocturno;24;15 a 24;Varón
Ministerio de Seguridad;623;10/3/2018;Marzo;22:15:00;Nocturno;17;15 a 24;Mujer
Ministerio de Seguridad;623;10/3/2018;Marzo;22:15:00;Nocturno;16;15 a 24;Mujer
Ministerio de Seguridad;623;19/3/2018;Marzo;20:15:00;Nocturno;25;25 a 34;Mujer
Ministerio de Seguridad;623;19/3/2018;Marzo;20:15:00;Nocturno;13;5 a 14;Varón
Ministerio de Seguridad;077;20/3/2018;Marzo;17:15:00;Diurno;20;15 a 24;Mujer
Ministerio de Seguridad;077;20/3/2018;Marzo;17:15:00;Diurno;25;25 a 34;Varón
Ministerio de Seguridad;623;28/3/2018;Marzo;02:15:00;Nocturno;27;25 a 34;Mujer
Ministerio de Seguridad;623;29/3/2018;Marzo;16:00:00;Diurno;82;75 y más;Varón
Ministerio de Seguridad;623;15/4/2018;Abril;07:18:00;Diurno;18;15 a 24;Varón
Ministerio de Seguridad;623;15/4/2018;Abril;07:18:00;Diurno;16;15 a 24;Mujer
Ministerio de Seguridad;077;18/4/2018;Abril;18:15:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;623;21/4/2018;Abril;23:50:00;Nocturno;59;55 a 64;Varón
Ministerio de Seguridad;175;22/4/2018;Abril;19:00:00;Diurno;16;15 a 24;Mujer
Ministerio de Seguridad;623;30/4/2018;Abril;19:00:00;Diurno;20;15 a 24;Mujer
Ministerio de Seguridad;077;3/5/2018;Mayo;22:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;623;11/5/2018;Mayo;11:46:00;Diurno;40;35 a 44;Mujer
Ministerio de Seguridad;623;17/5/2018;Mayo;23:20:00;Nocturno;37;35 a 44;Mujer
Ministerio de Seguridad;623;17/5/2018;Mayo;23:20:00;Nocturno;1;0 a 4;Mujer
Ministerio de Seguridad;623;19/5/2018;Mayo;19:00:00;Diurno;61;55 a 64;Mujer
Ministerio de Seguridad;623;19/5/2018;Mayo;19:00:00;Diurno;26;25 a 34;Mujer
Ministerio de Seguridad;623;21/5/2018;Mayo;16:30:00;Diurno;47;45 a 54;Mujer
Ministerio de Seguridad;623;21/5/2018;Mayo;16:30:00;Diurno;18;15 a 24;Varón
Ministerio de Seguridad;623;20/5/2018;Mayo;17:00:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;665;12/2/2018;Febrero;19:00:00;Diurno;20;15 a 24;Varón
Ministerio de Seguridad;763;18/2/2018;Febrero;21:30:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;665;19/2/2018;Febrero;07:10:00;Diurno;13;5 a 14;Mujer
Ministerio de Seguridad;763;23/2/2018;Febrero;19:30:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;763;13/3/2018;Marzo;09:35:00;Diurno;63;55 a 64;Varón
Ministerio de Seguridad;770;16/3/2018;Marzo;19:30:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;070;23/3/2018;Marzo;05:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;763;22/4/2018;Abril;18:00:00;Diurno;33;25 a 34;Varón
Ministerio de Seguridad;763;3/5/2018;Mayo;17:00:00;Diurno;17;15 a 24;Varón
